ID,BareGround,BioRegion,Biome,Year,Month,aspect,blue,bsi,calcite,chlorite,clay,dolomite,elevation,evi,exg,goethite,green,gypsum,hematite,illite_muscovite,kaolinite,landforms,meanAnnualPrecipitation,msavi,ndmi,ndvi,nir,nitrogen,osavi,ph,phosphorous,potassium,red,sand,satvi,savi,silt,slope,soc,soil_depth,stone,swir1,swir2,swirRatio,tc_bright,tc_green,tc_wet,vegType,vermiculite,.geo
J_2141,5,Albany Thicket,Albany Thicket,2016,9,-0.775547703,0.029679967,0.142084839,0,0,22.96238834,0,476.8641279,0.192958186,0.00789557,0,0.054883926,0,0.107843138,0,0,5,458,0.182421182,-0.069671582,0.427454898,0.179429732,70.94217207,0.302594499,68,28.61918195,49.62858486,0.072192311,48.1048425,0.315715332,0.214116925,17.31499765,3.521448305,466.9478138,200,8.713211095,0.206614086,0.149654409,1.382258553,0.2833322,0.070477692,-0.139999335,,0,"{""type"":""Point"",""coordinates"":[25.88185322609063,-33.17871727174737]}"
J_1014,45,Albany Thicket,Albany Thicket,2019,11,0.997321788,0.05646274,0.247743768,0,0,27.26698337,0,1159.334917,0.09091689,0.003275665,0,0.091419612,0,0,0,0,4,493,0.08607728,-0.193612965,0.181211086,0.180669765,76.95249406,0.137320275,67.21947743,28.06175772,51,0.12447024,48.02137767,0.211124684,0.102228449,21.80190024,14.99054307,559.8175772,193.6180523,14.10926366,0.264910981,0.21234596,1.252938383,0.366988886,0.024331016,-0.187234929,,0,"{""type"":""Point"",""coordinates"":[25.65513469212923,-32.45300303440009]}"
J_1024,95,Albany Thicket,Albany Thicket,2019,11,0.937274338,0.067923323,0.258268832,0.039576526,0,19.84611742,0,978.1126894,0.077587967,-0.007822813,0.065137151,0.120810969,0,0.06749109,0.039576526,0,4,375,0.08088671,-0.172480735,0.134643712,0.237927659,69.17566288,0.112996106,71,24.19223485,49.953125,0.181521421,56.14583333,0.136284717,0.092048224,17.29119318,13.66259529,472.6458333,186.0577652,15.82433712,0.337048514,0.280835356,1.20039509,0.488351391,0.02465119,-0.233303018,,0,"{""type"":""Point"",""coordinates"":[25.77429079047941,-32.17227586847935]}"
J_0776,75,Albany Thicket,Albany Thicket,2019,11,-0.045010468,0.076928387,0.228176737,0.029411765,0,18.60057197,0,957.7712107,0.087878807,-0.002950449,0.035294119,0.132399216,0,0.035294119,0.029411765,0.029411765,5,329,0.090363867,-0.137462115,0.145188939,0.25376753,59.957102,0.12350596,76.0386082,23.48045758,51.55815062,0.189054069,57.99618684,0.114676987,0.101965053,16.51954242,1.135220214,207.8064824,178.9032412,15.03765491,0.338073208,0.282429441,1.198235577,0.504546095,0.029986037,-0.226486021,,0,"{""type"":""Point"",""coordinates"":[24.589199962606152,-32.130128445322185]}"
J_1386,60,Albany Thicket,Albany Thicket,2021,8,0.938429588,0.059245121,0.243128236,0.039470416,0,19.86359316,0,977.990019,0.094558208,-0.010792743,0.065148864,0.101819936,0,0.067143819,0.039470416,0,4,375,0.096311888,-0.160691525,0.173426311,0.22079179,69.20294677,0.140070273,71,24.17870722,49.98621673,0.152268778,56.13212928,0.183998269,0.110820001,17.29705323,13.57190845,471.9405894,186.1625475,15.79705323,0.305381218,0.228469419,1.328087553,0.429150823,0.036779206,-0.198575934,,0,"{""type"":""Point"",""coordinates"":[25.774286331378352,-32.1722714093783]}"
J_1652,60,Albany Thicket,Albany Thicket,2021,8,-0.01110264,0.065206422,0.235518023,0.029411765,0,18.63050687,0,957.7806727,0.086041211,-0.00196486,0.035294119,0.111130024,0,0.035294119,0.029411765,0.029411765,5,329,0.084600443,-0.158945528,0.154122085,0.212744659,59.95168167,0.125143295,76.03363335,23.43960208,51.59403126,0.157618892,57.99242065,0.152854647,0.098271946,16.56134533,1.118651669,207.4211274,179.037423,15.0312648,0.294257619,0.235708454,1.244568134,0.428841499,0.025982855,-0.19412102,,0,"{""type"":""Point"",""coordinates"":[24.58919996260615,-32.13011952712008]}"
J_1899,45,Albany Thicket,Albany Thicket,2022,10,-0.865427701,0.048431151,0.193195672,0.06159724,0.121090635,25.7125411,0,580.8374824,0.103900741,0.016552543,0.036793181,0.088023761,0,0.009081867,0,0,4,289,0.098402593,-0.111126099,0.216369443,0.172391822,65.85627055,0.160410345,73,25,49,0.111063828,50.14372945,0.186022676,0.117407226,18,2.227131958,258.376233,170.1437295,12.14372945,0.21549745,0.166536919,1.294062193,0.322362032,0.032445769,-0.135814243,,0,"{""type"":""Point"",""coordinates"":[24.71722967205269,-32.81632167003276]}"
W_0296,55,Albany Thicket,Albany Thicket,2024,7,-0.906335124,0.037219146,0.140782014,0.062092425,0.105074646,25.0465007,0,580.6322217,0.125286812,0.012449519,0.035718388,0.062916107,0,0.005669605,0,0,4,289,0.112934427,-0.065251037,0.302830995,0.142322352,65.52325035,0.202769686,73,25,49,0.076163551,50.47674965,0.217006996,0.138120991,18,2.384001622,254.4828558,170.4767496,12.47674965,0.162233378,0.125333463,1.294427923,0.244219557,0.03913141,-0.102895256,,0,"{""type"":""Point"",""coordinates"":[24.71731885407376,-32.816343965538024]}"
J_1815,10,Alluvial Vegetation,Azonal Vegetation,2022,1,0.492202729,0.035574034,0.053437134,0,0,24,0,1187.817739,0.275001211,0.035780866,0,0.074628001,0,0,0,0,5,406,0.25554872,0.020987257,0.495317179,0.230409151,62,0.386185707,76,22,52,0.07668787,55,0.345546692,0.287012866,14,0.668329182,201.711501,200,11,0.234975381,0.146672866,1.612493904,0.33687155,0.103440519,-0.131630238,17,0,"{""type"":""Point"",""coordinates"":[25.07864873063658,-29.4483135942535]}"
J_2133,35,Inland Saline Vegetation,Azonal Vegetation,2015,10,-0.404753473,0.074402872,0.191116061,0.040440594,0,20.74726321,0,863.2741552,0.100051163,-0.010090733,0,0.111292036,0,0.085605519,0.017078702,0,5,234,0.09880554,-0.094330288,0.163734248,0.231764716,59.39124227,0.137472583,80.47405997,21.53355545,54.6592099,0.162783682,55.89243218,0.095905605,0.111985693,19.70585436,1.312015166,151.3231794,167.8172299,15.10613993,0.280013341,0.263011107,1.07593457,0.442177891,0.032995623,-0.198575648,9,0,"{""type"":""Point"",""coordinates"":[22.8022642655493,-32.47878555669112]}"
