BareGround,BioRegion,Biome,ID,Month,Year,Notes,aspect,blue,bsi,calcite,chlorite,clay,dolomite,elevation,evi,exg,goethite,green,gypsum,hematite,illite_muscovite,kaolinite,landforms,meanAnnualPrecipitation,msavi,ndmi,ndvi,nir,nitrogen,osavi,ph,phosphorous,potassium,red,sand,satvi,savi,silt,slope,soc,soil_depth,stone,swir1,swir2,swirRatio,tc_bright,tc_green,tc_wet,vegType,vermiculite
100,Inland Saline Vegetation,Azonal Vegetation,F_0002,7,2024,Plain,0,0.069411255,0.130284686,0,0,17.38315989,0,844,0.078103105,-0.00184476,0,0.114445197,0,0.059867306,0.03692693,0,5,242,0.076751936,0.018323317,0.137867328,0.212655995,45.94323557,0.111920521,75.23368023,20,52.23368023,0.160854458,60.97161779,0.017761387,0.088364143,15.78618732,0,229.7251656,155.4541154,14.21381268,0.204640433,0.171274331,1.194834303,0.378132135,0.029844799,-0.09898229,9,0
100,Inland Saline Vegetation,Azonal Vegetation,F_0003,7,2024,Plain,-0.549824003,0.124189483,0.180588844,0.029015162,0,18.27079395,0,642,0.077973599,-0.012784973,0.063273908,0.203315804,0,0.07958783,0.030006672,0,5,287,0.084759761,-0.05145409,0.10712653,0.36533805,48.03308129,0.099329033,72.23771267,20.93194707,46.20321361,0.29565705,59.6436673,-0.027432866,0.090724144,17.49291115,1.010183489,,178.0330813,10.43950851,0.406089582,0.356829223,1.136426194,0.70169393,0.032921953,-0.233934115,9,0
32.3,Inland Saline Vegetation,Azonal Vegetation,F_0004,7,2024,Plain,-0.138985538,0.05148153,0.125616305,0.057717615,0,18.67824845,0.036106056,648,0.190005401,0.013370625,0,0.090518586,0,0.059560809,0,0,5,288,0.178843817,-0.045804658,0.343286878,0.228340198,60.43360305,0.267890189,72.75535459,21.57924798,51.67824845,0.109279426,56.12327463,0.233474541,0.204355101,18.75535459,0.161315575,,200,11.09900048,0.245648165,0.187122321,1.302658337,0.374509948,0.070867911,-0.155180948,9,0
94.6,Inland Saline Vegetation,Azonal Vegetation,F_0011,10,2024,Plain,0.089363769,0.125787617,0.160846137,0,0,21.52161243,0,903,0.073012348,-0.009150764,0.06828348,0.196648382,0,0.05674228,0.040061519,0,5,150,0.074339746,-0.037323099,0.099026684,0.336084284,47.19038368,0.090460915,79.25109276,17,50,0.277103148,64.20981059,-0.036453071,0.080537,17.52161243,0.082876848,163.2986887,120.5604662,14.27051967,0.363115373,0.332544755,1.088612829,0.650215322,0.023325677,-0.206631644,8,0
100,Inland Saline Vegetation,Azonal Vegetation,F_0059,3,2025,Plain,0,0.170162252,0.14939105,0,0,17.32590133,0,844,0.099998051,-0.011000124,0,0.257004521,0,0.0598895,0.037086729,0,5,242,0.10269076,-0.033081763,0.115605601,0.447236409,46.31214421,0.111361462,75.34819734,20,52.34819734,0.354846893,61.15607211,-0.070953143,0.106069709,15.69497154,0,228.18074,155.8164137,14.30502846,0.477938036,0.432090789,1.105467056,0.849768716,0.040370939,-0.272250548,9,0
53.8,Inland Saline Vegetation,Azonal Vegetation,F_0062,3,2025,Plain,-0.131909725,0.056524335,0.100260182,0.057322131,0,18.69142857,0.038149393,648,0.214088275,0.025036674,0,0.101046114,0,0.059824466,0,0,5,288,0.204127025,-0.009976209,0.355481612,0.253553312,60.4147619,0.288783585,72.72333333,21.57809524,51.69142857,0.120531217,56.25285714,0.215649725,0.228181893,18.72333333,0.161569604,,200,11.11333333,0.25850335,0.202527253,1.276555149,0.404432822,0.083267651,-0.159830909,9,0
100,Inland Saline Vegetation,Azonal Vegetation,F_0063,3,2025,Plain,-0.482860461,0.117641061,0.187698222,0.029117002,0,18.2737983,0,642,0.080940925,-0.017194365,0.063138121,0.199862536,0,0.080046112,0.029853912,0,5,287,0.089337453,-0.05712034,0.110048935,0.373331321,48.06597549,0.103125,72.20782281,20.85485391,46.13195099,0.299278374,59.76531574,-0.02369529,0.094691001,17.52827521,1.025950387,,178.0659755,10.32987747,0.418508064,0.368160729,1.136897187,0.714127985,0.036433837,-0.245977616,9,0
100,Inland Saline Vegetation,Azonal Vegetation,F_0095,4,2025,Plain,0.416468075,0.111738714,0.181707236,0,0,18.45204819,0,901.533494,0.067598383,-0.007188298,0.063235298,0.184670798,0,0.058007402,0.049141508,0,6,150,0.070260387,-0.062835899,0.095001006,0.321231549,51.12433735,0.085109975,80.03951807,18,51,0.264050914,64.31084337,-0.018160002,0.075988235,16,3.332520215,110.1214458,105.0959036,13.2486747,0.365411939,0.348755288,1.075265899,0.634913822,0.018380554,-0.231612136,8,0
73.1,Inland Saline Vegetation,Azonal Vegetation,F_0104,4,2025,Plain,0,0.059354145,0.097482393,0.018665455,0,20.88370975,0,1068,0.167437331,0.008404282,0.058913987,0.103427361,0,0.087101792,0.018570447,0.015686275,5,172,0.164272301,0.02421045,0.291192592,0.248664683,54.88370975,0.234650606,80.88370975,21.88370975,52,0.139096301,62.88370975,0.135855791,0.185379274,19,0,171.2085536,167.6977415,14,0.239808859,0.190687256,1.287883377,0.401470692,0.070844702,-0.13478772,8,0
59.1,Lower Karoo Bioregion,Nama-Karoo,F_0001,7,2024,Slope,0.959762155,0.045078708,0.122017266,0.049401519,0,23.27732342,0.048157981,850.688361,0.128894019,0.007219293,0.054459116,0.071440206,0,0.048756463,0,0,4,240,0.116816838,-0.032806085,0.275666139,0.159779025,64,0.195099298,76,22,51,0.090682108,54.27732342,0.180722369,0.139348421,18,1.941001559,188.6527316,159,16,0.170495298,0.124782355,1.366272186,0.268244174,0.043576646,-0.09635708,5,0
